"Nid","Path","","Body","Main image","Promotion text","Basic listing","Multi listing"
"3529","/what-we-do/rawminds-ambassadors-panel","RawMinds Ambassadors Panel","<p><u><strong>Applications are now open! </strong></u></p>
<p>Are you a bright spark who wants to make a difference?</p>
<p>Wellcome Collection’s Youth Programme has up to 25 places available on our RawMinds Ambassadors Panel. We’re looking for enthusiastic young people, aged 14-19, who’d like to help shape our youth activities. You’ll already know us well, as a result of being involved with previous projects and events, and want to get more experience of working behind the scenes at Wellcome Collection.</p>
<p><strong>What’s involved in being an Ambassador?</strong></p>
<p>Ambassadors will attend regular meetings and advise our Youth Programme team on projects and events. You’ll also benefit from opportunities that range from discounts in the shop and café to work experience and training. This year, we have a selection of paid opportunities including our Public Speaking project, Saturday Studio support and a new Social Media role. A dedicated member of our team will always be present to support the work of the Panel. We’re looking for people with bright ideas who like to take the lead, are keen to work on events, and are prepared to commit a regular amount of time to Ambassador activities. We will provide snacks at every meeting, and you can claim back your travel expenses (within Zones 1-6).</p>
<p><strong>Last years Panel</strong></p>
<p>This is what last years Panel got involved with:</p>
<ul><li>They organised two successful youth events, <a href=""https://wellcomecollection.org/jinglejungle"">Jingle Jungle </a>and <a href=""https://wellcomecollection.org/events/quiz-incurably-curious"">Quiz for the Incurably Curious </a></li>
<li>Took part in 4 exclusive work experience projects, ranging from designing the trophy for Wellcome Book Prize to creating a merchandise for Wellcome Collection’s gift shop </li>
<li>Helped us plan the<a href=""https://wellcomecollection.org/what-we-do/rawminds-summer-filmmaking-project""> RawMinds Summer Filmmaking Project</a> </li>
<li>Acted as project support for <a href=""https://wellcomecollection.org/saturdaystudio"">Saturday Studio</a></li>
<li>Were trained and paid to take part in a <a href=""https://wellcomecollection.org/what-we-do/rawminds-public-speaking-and-presentation-project"">Public Speaking Project</a></li>
</ul><p><strong>When the Panel meets</strong></p>
<p>The regular meetings will run from 17.00 to 19.00, two Thursdays a month (see the application form for more details). We can organise other meetings whenever they’re needed and cancel meetings when there are exam pressures. Meetings will start on<strong> Thursday 5 October 2017.</strong></p>
<p><strong>How to get involved</strong></p>
<p>If you would like to become a RawMinds Ambassador, you’ll need to download and complete the <span class=""file""><img class=""file-icon"" alt=""File"" title=""application/vnd.openxmlformats-officedocument.wordprocessingml.document"" src=""/modules/file/icons/x-office-document.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Wellcome%20Collection_RawMinds%20Ambassadors%20Panel_application%20form%202017%202018.docx"" type=""application/vnd.openxmlformats-officedocument.wordprocessingml.document; length=225361"">RawMinds Ambassadors Panel Application Form</a></span> and return it by <strong>22 September 2017.</strong></p>
<p>RawMinds Ambassador Panel is a part of <a href=""https://wellcomecollection.org/rawminds"">RawMinds.</a></p>
","<img src=""https://wellcomecollection.org/sites/default/files/RawMinds-Ambassador-main.png"" width=""1600"" height=""900"" />","We’re looking for enthusiastic young people with bright ideas and an ambition to shape our youth activities.","",""
"3369","/vocalexercises","Vocal exercises","<p>Inspired by our book <a href=""/voice""><em>This is a Voice</em></a>, explore this series of vocal exercises to help train, project and harness the power of your voice.</p>
<h2>Part of <a href=""/thisisavoice"">THIS IS A VOICE</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Speaking-2-vocal.png"" width=""765"" height=""431"" />","A series of vocal exercises to help train, project and harness the power of your voice.","",""
"3357","/what-we-do/previous-saturday-studios","Previous Saturday Studios","","<img src=""https://wellcomecollection.org/sites/default/files/Saturday-Studio.png"" width=""800"" height=""450"" />","Browse our previous Saturday Studio events to get a flavour of the programme.",", , , , , , , , , , , , , , , , , , , , , , , , ",""
"3355","/young-people","Young people","<p>There are many exciting opportunities for young people aged 14-19 to get involved with Wellcome Collection and our lively programme of exhibitions and events.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/rawminds3.png"" width=""920"" height=""518"" />","Aged 14-19? Find out how you can get involved in Wellcome Collection and explore some of our previous projects.","","<h2>RawMinds</h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/RawMinds-main-2017.png?itok=A0LFU7dg"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/rawminds"" itemprop=""url"">RawMinds</a></h2><div class=""snippet__description"" itemprop=""description"">A youth engagement initiative for teenagers 14-19 to experiment with art and science, get creative and learn new skills.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/MP-6289.12_WC_RawMinds_Winter_project_1600x900_v1.jpg?itok=3o8uAxko"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/whats/rawminds-improvised-comedy-event-project-2018"" itemprop=""url"">RawMinds Improvised Comedy Event Project 2018</a></h2><div class=""snippet__description"" itemprop=""description"">Join our RawMinds spring project and collaborate with other young people to produce an improvised comedy show.</div></div></article></div>, <h2>Saturday Studio</h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/Saturday-Studio-main-2017.png?itok=wI7rwsK7"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/saturdaystudio"" itemprop=""url"">Saturday Studio</a></h2><p class=""snippet__type"">Event series</p><div class=""snippet__description"" itemprop=""description"">We’re inviting young people to try out creative activities inspired by Wellcome Collection.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/Saturday-Studio.png?itok=dAVTV3k3"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/previous-saturday-studios"" itemprop=""url"">Previous Saturday Studios</a></h2><div class=""snippet__description"" itemprop=""description"">Browse our previous Saturday Studio events to get a flavour of the programme.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/where%20are%20our%20grandmothers%20raju%20rage_resized.jpg?itok=CL1VK5Fi"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/events/saturday-studio-making-zines"" itemprop=""url"">Saturday Studio: Making zines </a></h2><p class=""snippet__type"">Youth event</p><p class=""snippet__booking"">Drop in</p><p class=""snippet__date"">Saturday 24 February</p><p class=""snippet__time"">14:00-15:15</p><p class=""snippet__time"">15:15-16:30</p><p class=""snippet__time"">16:30-17:45</p><div class=""snippet__description"" itemprop=""description"">Create your own zine exploring the themes of bodies and health, in workshops for young people aged 14–19.</div><p class=""snippet__related-link"">Part of <a href=""/saturdaystudio"">Saturday Studio</a></p></div></article></div>, <h2>Co-production and partnership projects</h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/natural-habitat-16x9.png?itok=dERHj0gZ"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/naturalhabitat"" itemprop=""url"">Natural Habitat</a></h2><p class=""snippet__type"">Installation</p><p class=""snippet__date"">22 June 2017 - 8 October 2017</p><div class=""snippet__description"" itemprop=""description"">A new school co-production artwork exploring what nature is and might be for young people in London.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/C0130297.jpg?itok=fPBKnEOC"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/exhibitions/voice-hearing-project"" itemprop=""url"">Voice Hearing Project</a></h2><p class=""snippet__type"">Installation</p><p class=""snippet__date"">14 April 2016 - 31 July 2016</p><div class=""snippet__description"" itemprop=""description"">Voice hearing, young people and art. Explore the experiences and creativity of seven young voice hearers.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/transvenger.jpg?itok=XtJfy6wD"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/transvengers"" itemprop=""url"">Transvengers</a></h2><div class=""snippet__description"" itemprop=""description"">The Transvengers webcomic was created by a group of young trans people aged 13-19 from Gendered Intelligence.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/human_emporium_main.jpg?itok=iNyxe5Ep"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/exhibitions/human-emporium"" itemprop=""url"">The Human Emporium</a></h2><p class=""snippet__type"">Installation</p><p class=""snippet__date"">28 October 2014 - 9 November 2014</p><div class=""snippet__description"" itemprop=""description"">How will a group of young people respond to Henry Wellcome's curious array of artefacts?</div></div></article></div>, <h2></h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/young-people-main.jpg?itok=3L_leep6"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/young-people-aged-14-19-sign"" itemprop=""url"">Young People aged 14-19 Sign Up</a></h2><div class=""snippet__description"" itemprop=""description"">Stay informed about project opportunities for young people aged 14-19.</div></div></article></div>"
"3353","/schools","Schools","<p>We offer a range of free, bookable, cross-curricular study days for students aged 14–19 as well opportunities for teachers to feed into the work we do. Find out more about this and more below.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/mindful-teachers-main.jpg"" width=""1600"" height=""900"" />","Find out about our events, opportunities and projects for teachers and schools.",", , ",""
"3351","/what-we-do/community","Community","<p>Wellcome Collection community engagement reaches out beyond our walls to groups who might not know us, those who have visited us and people who want to engage with us in a different way. We participate in large scale events such as Bloomsbury Festival, but also offer more bespoke experiences with one-off projects as well as our introductory programme, Wellcome Repackaged (see below).</p>
<p>We run projects which contribute to the exhibitions and events programmes at Wellcome Collection by working directly with groups of individuals with lived experience, responding creatively to our themes and sharing experiences and perspectives.</p>
<p>Though we're keen to explore potential partnership projects, we plan things well in advance.</p>
<h2>Wellcome Repackaged</h2>
<p>A two-session thematic, creative mini project that introduces Wellcome Collection and the community group to each other. Session one takes place at the community venue with object handling, creative hands-on activities and lots of interesting conversations. For session two, we invite the group to visit us at Wellcome Collection to see the galleries, be creative and have more conversations over tea and biscuits. These mini-projects are free for community groups.</p>
<p>If you would like to discuss taking part, please get in touch with Eleanor via <a href=""mailto:community@wellcomecollection.org?subject=Enquiry%20from%20website"">community@wellcomecollection.org</a>.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Community-main.png"" width=""1600"" height=""900"" />"," Find out about Wellcome Collection's community projects.","","<h2>Past projects</h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/Our-Voices-main.png?itok=DhM5_Jce"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/ourvoices"" itemprop=""url"">Our Voices</a></h2><p class=""snippet__type"">Audio</p><div class=""snippet__description"" itemprop=""description"">Find out more about the making of Our Voices, an audio companion to ‘Bedlam: the asylum and beyond’.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/bloomsbury.jpg?itok=KKCtT3Rt"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/bloomsbury-festival"" itemprop=""url"">Bloomsbury Festival </a></h2><div class=""snippet__description"" itemprop=""description"">A summer animation project with local young people inspired by Wellcome Collection and the theme of body language.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/somers%20light%20letterbox.jpg?itok=_gUNjDV7"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/somers-light"" itemprop=""url"">Somers Light</a></h2><div class=""snippet__description"" itemprop=""description"">Somers Light took place on the Sidney Estate, Somers Town in 2015, celebrating the UN International Year of Light.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/transvenger.jpg?itok=XtJfy6wD"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/transvengers"" itemprop=""url"">Transvengers</a></h2><div class=""snippet__description"" itemprop=""description"">The Transvengers webcomic was created by a group of young trans people aged 13-19 from Gendered Intelligence.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/souzou_0.jpg?itok=-szGfUG9"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/outsider-art-community-workshops"" itemprop=""url"">Outsider Art community workshops</a></h2><div class=""snippet__description"" itemprop=""description"">Creative projects with community groups, inspired by the 'Souzou: outsider art from Japan' exhibition.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/midsummer%20picnic%20letterbox.jpg?itok=PWhdyJ4h"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/midsummer-picnic"" itemprop=""url"">Midsummer Picnic</a></h2><div class=""snippet__description"" itemprop=""description"">Themed workshops for West Euston Time Bank members each spring, with a big community celebration on midsummer weekend.</div></div></article></div>"
"3333","/what-we-do/working-wellcome-collection","Working with Wellcome Collection","<p>Wellcome Collection produces innovative public events, exhibitions, books and digital projects that relate to medicine, life, culture and the human condition. We work with carefully selected partners across a range of sectors and disciplines to deliver our programme, and we receive a high number of queries about working with us. If you're interested in proposing an exhibition, event or project in collaboration with us, please use the information below to get in touch with us.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hubbub-late.jpg"" width=""1600"" height=""900"" />","Wellcome Collection produces innovative public events, exhibitions, books and digital projects.","",""
"3299","/visit-us/support-voice-hearing","Support for voice hearing","<p><img height=""182"" width=""278"" class=""media-element file-default"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/logo_vc170%20White%20Bground_0.png?itok=ab1svSSn"" alt="""" /> </p>
<p>The Youth Programme at Wellcome Collection worked in partnership with Voice Collective on this co-production project. Voice Collective, part of Mind in Camden, recruited and liaised with the young people involved in every workshop and also gave excellent voice hearing training to help Wellcome staff prepare for the workshops. Particular thanks are due to Tamsin Curno and Rachel Waddingham for their support and advice throughout the project.</p>
<p>Voice Collective is a London-wide project set up to support children and young people who hear voices, see visions or have other unusual sensory experiences. The team work in partnership with young people and youth organisations to improve the quality of information, advice and support available out there. To find out more, <a href=""http://www.voicecollective.co.uk/"">visit the Voice Collective website</a>, email <a href=""mailto:info@voicecollective.co.uk"">info@voicecollective.co.uk</a> or call 020 7911 0822 during office hours.</p>
<p>Voice Collective is funded by BBC Children in Need and John Lyon’s Charity, among others.</p>
<p><img height=""129"" width=""300"" class=""media-element file-default"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/HtVLogoFINAL.png?itok=d_LnYM81"" alt="""" /></p>
<p>Wellcome Collection’s Youth Programme worked initially with Professor Charles Fernyhough, a psychologist who leads Hearing the Voice - a large interdisciplinary research study of voice hearing based at Durham University and funded by the Wellcome Trust. Charles advised on other voice hearing content in the ‘This is a Voice’ exhibition, helped plan the development of our artist-led co-production project, and also put us in touch with Voice Collective in Camden.</p>
<p>Voice hearing experiences are fairly common and are not in themselves necessarily a cause for concern. If you find that these experiences continue to cause significant distress or interfere with your relationships or daily activities, you should seek the advice of your GP or family doctor and seek other sources of sympathetic support. <a href=""http://hearingthevoice.org/frequently-asked-questions"">Find out more about hearing voices, including sources of support</a>.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Support-for-voice-hearing-main.png"" width=""1600"" height=""900"" />","Further information about voice hearing, including contacts for support organisations.","",""
"3297","/visit-us/it-could-happen-anyone","It could happen to anyone","<p>This t-shirt and badge slogan is intended to intrigue and provoke conversations within the exhibition and beyond. The young people wanted to create something to support not just voice hearers but anyone who experiences stigma, and to create an artwork that extends beyond the confines of the exhibition and into their daily lives and those of others.</p>
<p>The conversations provoked can be considered as performative art interventions, in which the slogan wearer can direct their conversation according to their personal interests and agenda - or they might want to talk about the back story of the badge, which is the whole creative project. These conversations can be as playful or serious as the wearer likes.</p>
<p>Here is a description of the type of interaction that could happen, as imagined by Nikki, the young voice hearer who came up with the slogan:</p>
<blockquote><p>“What could happen to anyone?”</p>
</blockquote>
<blockquote><p>“Anything! Discrimination, homelessness, abuse, mental illness, bullying, racism… or voice hearing.”</p>
</blockquote>
<p>The young people designed the badges and T-shirts themselves, supported by artist Hannah Hull and graphic designer Robert Sollis. 500 badges and 50 T-shirts have been made and distributed by the young voice hearers, Hannah Hull, Wellcome Collection’s Youth Programme and Voice Collective.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Badges.JPG"" width=""3840"" height=""2160"" />","The t-shirt and badge slogan is intended to intrigue and provoke conversations within the exhibition and beyond.","",""
"3285","/what-we-do/states-mind-learning-resource","States of Mind learning resource","<p>We've created a digital resource to help teachers prepare for self-guided visits to the second part of our year-long exhibition on consciousness, '<a href=""/exhibitions/states-mind-tracing-edges-consciousness"">States of Mind</a>'. Given the abstract nature of this exhibition, as well as its links to advanced syllabi, we've developed these activities for students aged 16-18 years.</p>
<p>The complete resource includes:</p>
<ul><li>subject specific in-gallery activities that encourage students to engage with all sections of the exhibition from an interdisciplinary viewpoint</li>
<li>preparation and follow-up activities that can be completed in the classroom</li>
<li>curriculum links and clear instructions on how to use these resources</li>
</ul><p>Each resource has been split into separate PDFs so that you can download the section you need. Alternatively, you can also download all of each gallery’s resources in one PDF, which also includes a gallery plan.</p>
<p>Please also look at our Visiting Guidelines to ensure you get the most out of your visit:</p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210133%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Visiting%20guidelines%20Wellcome%20Collection%202016_0.pdf"" type=""application/pdf; length=217403"">Visiting guidelines </a></span></p>
<h3><strong>Teacher resources </strong></h3>
<p><strong>Introduction</strong><br />
	Read these essential guides to the resources, which include background to the exhibitions, gallery plans and instructions for use.<br /><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210135%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Introduction%20States%20of%20Mind%20resource%20Wellcome%20Collection%20%28147KB%29.pdf"" type=""application/pdf; length=150147"">Introduction (147 KB)</a></span></p>
<p><strong>Curriculum links</strong><br />
	Key stage 5 syllabus links for Art and Design, English Language, English Literature, Philosophy, Psychology, Religious Studies, Science.<br /><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210137%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Curriculum%20links%20States%20of%20Mind%20resource%20Wellcome%20Collection%20%28128KB%29.pdf"" type=""application/pdf; length=130931"">Curriculum links (128 KB)</a></span></p>
<h3><strong>'States of Mind' learning resource for students</strong></h3>
<p>Download the full 'States of Mind' learning resource or choose your preferred section(s) below.</p>
<p><strong>Full States of Mind learning resource</strong><br /><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210139%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Full%20States%20of%20Mind%20learning%20resource%20Wellcome%20Collection%20%281%2C836%20KB%29.pdf"" type=""application/pdf; length=1880054"">States of Mind learning resource (1.8 MB)</a></span></p>
<p><strong>Individual sections</strong></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210141%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Preparation%20activities%20States%20of%20Mind%20learning%20resource%20Wellcome%20Collection%20%28196%20KB%29.pdf"" type=""application/pdf; length=200143"">Preparation activities (196 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210143%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Follow%20up%20activities%20States%20of%20Mind%20resource%20Wellcome%20Collection%20%28164%20KB%29.pdf"" type=""application/pdf; length=167661"">Follow up activities (164 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210145%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Trail%20-%20Contemplating%20consciousness%20Wellcome%20Collection%20%28226%20KB%29.pdf"" type=""application/pdf; length=230942"">Trail - Contemplating consciousness (226 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210159%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Glossary%20States%20of%20Mind%20Wellcome%20Collection%20%2880%20KB%29.pdf"" type=""application/pdf; length=80949"">Glossary (80 KB)</a></span></p>
<h3><strong>Gallery activity cards</strong></h3>
<p>We have developed subject specific cards which are designed to be photocopied double-sided and then cut to make cards; you may also like to laminate them. They are intended for students to complete in pairs or small groups and to form the basis of further discussion or work back at school.</p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210147%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Art%20and%20Design%20activity%20cards%20Wellcome%20Collection%20%28539%20KB%29.pdf"" type=""application/pdf; length=551169""><strong>Art and Design</strong> activity cards (539 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210149%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/English%20activity%20cards%20Wellcome%20Collection%20%28181%20KB%29.pdf"" type=""application/pdf; length=184955""><strong>English</strong> activity cards (181 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210151%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Philosophy%20activity%20cards%20Wellcome%20Collection%20%28293%20KB%29.pdf"" type=""application/pdf; length=299383""><strong>Philosophy</strong> activity cards (293 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210153%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Psychology%20activity%20cards%20Wellcome%20Collection%20%28367%20KB%29.pdf"" type=""application/pdf; length=375391""><strong>Psychology</strong> activity cards (367 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210155%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Religious%20studies%20activity%20cards%20Wellcome%20Collection%20%28248%20KB%29.pdf"" type=""application/pdf; length=253148""><strong>Religious Studies</strong> activity cards (248 KB)</a></span></p>
<p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210157%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""https://wellcomecollection.org/sites/default/files/Science%20activity%20cards%20Wellcome%20Collection%20%28247%20KB%29.pdf"" type=""application/pdf; length=252674""><strong>Science</strong> activity cards (247 KB)</a></span></p>
<h2><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210157%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D"">Part of <a href=""/exhibitions/states-mind-tracing-edges-consciousness"">States of Mind: Tracing the edges of consciousness</a></span></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/States-of-mind-main.png"" width=""3333"" height=""1875"" />","A cross-curricular learning resource developed for post-16 students visiting our 'States of Mind' exhibition.","","<h2></h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/medman_mednow_teachers.jpg?itok=mHR2LZyS"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/learning-resources"" itemprop=""url"">Learning resources</a></h2><div class=""snippet__description"" itemprop=""description"">Here is our current list of downloadable learning resources.</div></div></article></div>"
