"Nid","Path","","Body","Main image","Promotion text","Date"
"3781","/exhibitions/museum-modern-nature","A museum of modern nature","<p><iframe allowfullscreen="""" frameborder=""0"" height=""365"" src=""https://www.youtube.com/embed/gyZBueN3ArU?rel=0"" width=""650""></iframe></p>
<p>Many of us think of nature as something separate to ourselves – something elsewhere, somewhere to visit and not part of our daily lives. Yet in reality nature is all around us. Whether we live in densely packed cities or rural countryside, we are part of a complex ecosystem with the plants, animals, land, air and water that surround us.</p>
<p>Our summer exhibition shines a light on how each of us connects with nature. We are displaying objects borrowed from members of the public that tell a story about their relationship with nature. Together they create a collective snapshot of how we think about nature in the 21st century and explore how the health of our planet is intricately bound up with the behaviours and values of the people who inhabit it.</p>
<p>To represent the many and varied voices of our public a small team of people who work with nature in their daily lives have chosen the objects that go on display in the exhibition. These include a park manager, a shaman, a dairy farmer and a plant scientist. You can find out more about them and their own chosen objects below.</p>
<p>The environmental challenges we face are global but the solutions to them start with the personal and the local. Help us create a different kind of museum of nature – one which celebrates our everyday relationship with the world around us.</p>
<p>Please see our advice for <a href=""/busytimes"">visiting during busy times</a>.</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/wellcomecollection_exhibition_text_and_captions.pdf"" type=""application/pdf; length=168299"">Exhibition text and captions (172 KB)</a></span></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Museum-of-modern-nature-main.png"" width=""1600"" height=""900"" />","Help us create a different kind of museum of nature – one that celebrates our everyday relationship with the world around us.","2017-06-22 10:00:00 to 2017-10-08 18:00:00"
"3685","/we-are-latest-models-our-ancestry","Busty Beatz/Hot Brown Honey: We are the Latest Models of our Ancestry","<p>When an object is found by one but taken from another, what is the impact? Not only at the time it was taken but for generations to come? Busty Beatz of Hot Brown Honey is on a mission to deconstruct, dissect and shake the foundations of the past by artistically reimagining history into Herstory.</p>
<p>Collaborating with artists, academics and researchers from across worlds, disciplines and experiences, We are the Latest Models of our Ancestry sets out to challenge perceptions of ‘museum objects’.</p>
<p>Through redefining and reshaping the impact of being taken from, it will articulate the intersections of race, culture and gender empowerment of our contemporary selves.</p>
<p>This multimedia installation, featuring video and recorded and live sound, commissioned for The Sick of the Fringe, accompanies the Medicine Man exhibition.</p>
<p>As part of this installation, <a href=""http://twitter.com/BustyBeatz"">@bustybeatz</a> is taking over our <a href=""https://twitter.com/ExploreWellcome"">@ExploreWellcome</a> Twitter account. Find out more below.</p>
<h2>Part of <a href=""/sickofthefringe"">The Sick of the Fringe - London</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/TSOTF_main_busty-beatz_0.jpg"" width=""1600"" height=""900"" />","A mission to deconstruct, dissect and shake the foundations of the past by artistically reimagining history into Herstory.","2017-02-17 10:00:00 to 2017-02-19 18:00:00"
"3641","/sickofthefringe","The Sick of the Fringe - London","<p>Since 2015 <a href=""http://thesickofthefringe.com"">The Sick of the Fringe</a> has existed to connect work engaging with arts and health across the Edinburgh Fringe, bringing voices from outside the mainstream into public discourse in new and exciting ways.</p>
<p>Join us for our first extended weekend, featuring performance and discussion with artists and scientists thinking about the body’s problems and possibilities.</p>
<p>The Sick of the Fringe will take place across London. Download the full 2017 brochure:</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/The%20Sick%20of%20the%20Fringe%20-%20London%202017%20full%20brochure%20%283.7%20MB%29_0.pdf"" type=""application/pdf; length=3718036"">The Sick of the Fringe brochure (3.7 MB)</a></span></p>
<p><strong>Tickets for performances and events at Wellcome Collection are free and will become available below from 11.00 on Friday 27 January.</strong></p>
<p>Commissioned by Wellcome<br /><br />
	Conceived by artist and Wellcome Public Engagement Fellow Brian Lobel<br /><br />
	Produced and developed by In Company Collective.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/sick-of-the-fringe-main.jpg"" width=""1600"" height=""900"" />","An extended weekend featuring performance and discussion with artists and scientists thinking about the body’s problems and possibilities.","2017-02-17 10:00:00 to 2017-02-19 18:00:00"
"3621","/humans-animals","Humans and Animals","<p>The BBC World Service joins forces with Wellcome Collection to explore some of the biggest challenges facing our world today in a new programme of events and radio programmes.</p>
<p>This event, which will take place with a live audience at Wellcome Collection, will be recorded and broadcasted on BBC World Service in March 2017.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Humans-and-animals-series.png"" width=""1600"" height=""900"" />","A series of events in partnership with the BBC World Service looking at the relationship between humans and animals.","2016-11-25 12:00:00"
"3555","/MakingNature","Making Nature: How we see animals","<p>No matter how you see nature now, you’ll never see it the same way again.</p>
<p>Kicking off a year-long exploration into our relationship with nature, this major exhibition examines what we think, feel and value about other species and the consequences this has for the world around us. It brings together over 100 fascinating objects from literature, film, taxidermy and photography to reveal the hierarchies in our view of the natural world and consider how these influence our actions, or inactions, towards the planet.</p>
<p>Organised around four themes – ‘Ordering’, ‘Displaying’, ‘Observing’ and ‘Making’ – this exhibition questions the approach of ‘learning through looking’, charts the changing fashions of museum displays alongside society’s changing attitudes to the world around us, examines the search for an authentic encounter with nature, and looks at how humans have intentionally altered other organisms.</p>
<p>Download the large print guide text (also available in the gallery):</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Making%20Nature%20Large%20Print%20GuideWellcome%20Collection%20%28186%20KB%29.pdf"" type=""application/pdf; length=185592"">Large Print Guide (186 KB)</a></span></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Making-Nature-main_0.png"" width=""1600"" height=""900"" />","Examining the historical origins of our ideas about other animals and the consequences of these for ourselves and our planet.","2016-12-01 10:00:00 to 2017-05-21 18:00:00"
"3543","/electricity","Electricity: The spark of life","<p>The story of electricity is the story of life itself. From the structure of the atom to the functioning of our brains, this invisible yet vital force is intrinsic to human life. For centuries electricity has captivated inventors, scientists and artists alike, and in the modern era it has transformed our world.</p>
<p>From the first breaths of Frankenstein’s monster to the brutal simplicity of the execution chair, this exhibition contemplates the contradictory life-giving and death-dealing extremes generated by electricity, and traces the story of how humanity has striven to understand, unlock and gain control over this invisible yet all-encompassing force, which continues to mystify and amaze.</p>
<p>Three celebrated artists have been commissioned to create three new artworks for this exhibition: John Gerrard has taken inspiration for his commission from Luigi Galvani's famous experiments into bioelectricity; Bill Morrison explores historical footage from the Electricity Council archive to consider the movement and networks of electricity and its profound interconnectedness with our daily lives; and Camille Henrot considers our energy-dependent lifestyles, as well as the relationship between humans, technology and the environment.</p>
<p><strong>One of the commissioned works in 'Electricity' contains strobe effects.</strong> The rest of the exhibition can be visited without entering this installation. Please contact us if you’d like to know more.</p>
<p>'Electricity: The spark of life' is a collaboration between Wellcome Collection (London), the Museum of Science and Industry (Manchester) and Teylers Museum (Haarlem) and will be presented as a touring exhibition at each of these venues, beginning at Wellcome Collection in Spring 2017.</p>
<p>(Video includes 'Looking up in Osaka K Minamisemba 1 cho-me', by João Penalva, 2005-06. Courtesy of the artist and Simon Lee Gallery, London/Hong Kong.)</p>
<p>The large print guide for the exhibition and the transcript of the audio piece Where Now can be downloaded below.</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Wellcome%20Collection_Electricity%20Spark%20of%20Life_Large%20Print%20Guide%20%282.3%20MB%29.pdf"" type=""application/pdf; length=2334734"">Large Print Guide (2.3 MB)</a></span></p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Wellcome%20Collection_Electricity%20Spark%20of%20Life%20Audio%20Piece_%20Where%20Now%20transcript%20%2857%20KB%29_0.pdf"" type=""application/pdf; length=57052"">Where Now transcript (57 KB)</a></span></p>
","<img src=""https://wellcomecollection.org/sites/default/files/1600x900.png"" width=""1600"" height=""900"" />","The natural power of electricity is all around and one of the most potent symbols of the modern world.","2017-02-23 10:00:00 to 2017-06-25 10:30:15"
"3519","/exhibitions/siobhan-davies-dance-moving-conversations","Siobhan Davies Dance: Moving Conversations","<p>Choreographers and scientists explore the connection between mind, body and feeling, through performance and discussion in three events, as part of research for a new work by Siobhan Davies Dance.</p>
<p><img height=""93"" width=""150"" class=""media-element file-default"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/Siobhan-Davies-Dance-logo_0.png?itok=rRqgkq61"" alt="""" /></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Siobham%20Daview%20Dance%20main.jpg"" width=""1600"" height=""900"" />","Choreographers and scientists explore the connection between mind, body and feeling through performance and discussion.",""
"3457","/wanderland","RawMinds Wanderland","<p><strong>An activity-based adventure for daydreamers and doers</strong></p>
<p>Meander your way through Wanderland to explore mind-wandering, day-dreaming and doodling.</p>
<p>When does your mind wander, and where does it go? Despite their negative reputation, might boredom, mind-wandering and doodling benefit us? Using creative cues to spark your imagination, let your mind roam in Wanderland while you explore, draw, make and do.</p>
<p>This installation has been created and curated by a group of young people from RawMinds, Wellcome Collection’s creative programme for 14-to-19-year-olds, working with artist Joceline Howe.</p>
<p>The group were inspired by the work of <a href=""http://hubbubresearch.org/"">Hubbub</a>, a Wellcome-funded interdisciplinary group of researchers, scientists and artists who have spent two years investigating the theme of rest and its opposites.</p>
<p>If you would like to explore this theme further, you can visit <a href=""http://hubbubresearch.org/event/rest-discontents/"">hubbub’s free exhibition, ‘Rest and its discontents’</a>, at The Mile End Pavilion, 30 September-30 October.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/wanderlandtemp.png"" width=""1600"" height=""900"" />","Meander your way around Wanderland, responding to creative cues to explore how our minds wander.","2016-10-20 10:00:00 to 2016-10-30 18:00:00"
"3373","/bedlam","Bedlam: the asylum and beyond","<p><strong>Follow the rise and fall of the mental asylum and explore how it has shaped the complex landscape of mental health today. Reimagine the institution, informed by the experiences of the patients, doctors, artists and reformers who inhabited the asylum or created alternatives to it.</strong></p>
<p>Today asylums have largely been consigned to history but mental illness is more prevalent than ever, as our culture teems with therapeutic possibilities: from prescription medications and clinical treatment to complementary medicines, online support, and spiritual and creative practices. Against this background, the exhibition interrogates the original ideal that the asylum represented – a place of refuge, sanctuary and care – and asks whether and how it could be reclaimed.</p>
<p>Taking Bethlem Royal Hospital as a starting point, ‘Bedlam: the asylum and beyond’ juxtaposes historical material and medical records with individual testimonies and works by artists such as David Beales, Richard Dadd, Dora García, Eva Kotátková, Madlove: A Designer Asylum, Shana Moulton, Erica Scourti, Javier Téllez and Adolf Wölfli, whose works reflect or reimagine the institution, as both a physical and a virtual space.</p>
<p>Please see our advice for <a href=""https://wellcomecollection.org/busytimes"">visiting during busy times</a>.</p>
<p>Download the gallery guide or the exhibition text and captions (both are available in the gallery):</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Wellcome%20Collection%20Bedlam%20Gallery%20Guide%20and%20Map%20%28279%20KB%29.pdf"" type=""application/pdf; length=279467"">Gallery Guide and Map (279 KB)</a></span></p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/Wellcome%20Collection_Bedlam%20Exhibition%20text%20and%20captions%20%28351%20KB%29.pdf"" type=""application/pdf; length=350938"">Exhibition text and captions (351 KB)</a></span></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Bedlam-main-image.png"" width=""1600"" height=""900"" />","Tracing the rise and fall of the mental asylum and how it has shaped the complex landscape of mental health today.","2016-09-15 10:00:00 to 2017-01-15 18:00:00"
"3289","/exhibitions/voice-hearing-project","Voice Hearing Project","<p>Seven young voice hearers, aged 14-19, have collaborated with artist Hannah Hull to create a significant body of artwork that comments on a key theme in our current exhibition ‘<a href=""/thisisavoice"">THIS IS A VOICE</a>’.</p>
<p>The main piece created, <strong>Everyday Objects Belonging to a Voice Hearer / Everyday Objects Belonging to a Non Voice Hearer</strong>, 2016 (pictured above) is on display in gallery 1 on level 0 of Wellcome Collection. Featuring in the ‘Unlocated Voices’ section of the exhibition, this artwork aims to evoke and challenge the viewer’s expectations of a voice hearer. It is a site-specific work which plays with how objects considered to have social significance are presented for public consumption. The work appears as a genuine exhibit of everyday objects and engages the viewer in a process of distinguishing between objects belonging to a voice hearer and those belonging to a non voice hearer.</p>
<p>In addition to the main piece, the group have created individual artwork concepts and a series of provocations on display in the Studio windows on level 1, plus a slogan for badges and T-shirts being worn around the exhibition and beyond (see below for details).</p>
<p>The young people came from different parts of London to attend six day-long workshops that creatively explored their thoughts, responses and experiences around voice hearing. The group was recruited by the Voice Collective, part of Mind in Camden (see below).</p>
<p>Wellcome Collection’s Youth Programme appointed Hannah Hull as lead artist on this project. She created and delivered six varied workshops that explored the content of the exhibition and the experiences of the young people. The workshops provided an insight into a range of conceptual art movements - including Dada, Fluxus and Situationist International - to stimulate the creative thinking and direction of the group. Each week Hannah responded to the interests of the group when developing the next session.</p>
<p>Our Youth Programme engages young people (in their school and leisure time) and local communities through participatory projects that build knowledge, inspire creativity and promote confidence. This project is an example of co-production, where we team up experts in their field with young people to create material that can be enjoyed by all who visit our venue.</p>
<h2>Part of <a href=""/thisisavoice"">THIS IS A VOICE</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/C0130297.jpg"" width=""7213"" height=""4383"" />","Voice hearing, young people and art. Explore the experiences and creativity of seven young voice hearers.","2016-04-14 10:00:00 to 2016-07-31 18:00:00"
"3013","/thisisavoice","THIS IS A VOICE","<p>'THIS IS A VOICE' looks inside vocal tracts, restless minds and speech devices to capture the elusive nature of the human voice.</p>
<p>This exhibition explores how the unique grain of our voice locates us socially, geographically and psychologically and how the voice is utterly flexible and can be altered with treatment and training.</p>
<p>Designed as an acoustic journey, the spotlight is cast on the meaning and emotions conveyed through the patterns of rhythm, stress and intonation. Non-verbal forms of communication are emphasised, revealing the power of the voice before and beyond words.</p>
<p>'THIS IS A VOICE' presents works by artists and vocalists, punctuated by paintings, manuscripts, medical illustrations and ethnographic objects. Download the gallery guide below.</p>
<p><!--MEDIA-WRAPPER-START-1--></p><p><span class=""file media-element file-default"" data-file_info=""%7B%22fid%22:%2210237%22,%22view_mode%22:%22default%22,%22fields%22:%7B%22format%22:%22default%22%7D,%22type%22:%22media%22%7D""><img alt=""PDF icon"" class=""file-icon"" src=""/modules/file/icons/application-pdf.png"" title=""application/pdf"" /><a href=""http://wellcomecollection.org/sites/default/files/THIS%20IS%20A%20VOICE%20Gallery%20Guide_Wellcome%20Collection%20%282%20MB%29.pdf"" type=""application/pdf; length=2028597"">THIS IS A VOICE Gallery Guide (2 MB)</a></span></p>
<p>Featured contemporary artists and vocalists include Laurie Anderson, Joan La Barbara, Anna Barham, Sam Belinfante, Erik Bünger, Henri Chopin, Marcus Coates, Steven Cottingham, Enrico David, Danica Dakić, Jochen Gerz, Asta Gröting, Lawrence Abu Hamdan, Mathew Herbert, Mikhail Karikis, Meredith Monk, Emma Smith, Imogen Stidworthy, Gregory Whitehead and Katarina Zdjelar.</p>
<p>All our exhibitions are free. Find out about <a href=""/busytimes"">entry at busy times</a>.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/MP-6467.3%20WC%20This%20is%20a%20Voice_Web%20assets%20MAIN%20PAGE.jpg"" width=""3333"" height=""1875"" />","An acoustic journey tracing the material quality of the voice to capture its complex psychological and physiological origins.","2016-04-14 10:00:00 to 2016-07-31 18:00:00"
"2991","/exhibitions/states-mind-tracing-edges-consciousness","States of Mind: Tracing the edges of consciousness","<p>Following on from '<a href=""/exhibitions/states-mind-ann-veronica-janssens"">Ann Veronica Janssens: yellowbluepink</a>', this changing exhibition will examine perspectives from artists, psychologists, philosophers and neuroscientists to interrogate our understanding of the conscious experience.</p>
<p>Exploring phenomena such as somnambulism, synaesthesia, and disorders of memory and consciousness, the exhibition will examine ideas around the nature of consciousness, and in particular what can happen when our typical conscious experience is interrupted, damaged or undermined.</p>
<p>'States of Mind: Tracing the edges of consciousness' will feature a series of changing installations. The final one is 'Time Present'<em> </em>by Shona Ilingsworth, from 19 July until 16 October. Find out more about <a href=""/visit-us/states-mind-installations"">this and future installations</a>.</p>
<p>The exhibition will also feature work by artists Carla MacKinnon, Louise K Wilson, A. R. Hopwood, Mary Kelly and Aya Ben Ron.</p>
<p>All our exhibitions are free. Find out about <a href=""/busytimes"">entry at busy times</a>.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/States-of-mind-main.png"" width=""3333"" height=""1875"" />","The second part of States of Mind explores our understanding of the conscious experience from different perspectives.","2016-02-04 10:00:00 to 2016-10-16 18:00:00"
"2869","/rawemotion","Raw Emotion","<p>Visit our listening lounge on the first floor to be uplifted, moved and amused by a selection of creative audio pieces inspired by <a href=""/book-human-emotions""><em>The Book of Human Emotions</em></a> by Tiffany Watt-Smith. Visitors will be encouraged to spend some time relaxing, listening and sharing some of their own experiences.</p>
<p>Created by <a href=""/rawminds"">RawMinds</a>, our participation programme for 14-19 year olds.</p>
<p>Located in the Studio on Level 1, accessed through Medicine Now.</p>
<h2>Part of <a href=""/rawminds"">RawMinds</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Raw-Emotions-main-page.png"" width=""1600"" height=""900"" />","Be uplifted, moved and amused by a selection of creative audio pieces in our listening lounge.","2015-09-15 10:00:00 to 2015-09-27 18:00:00"
"2867","/exhibitions/states-mind-ann-veronica-janssens","Ann Veronica Janssens: yellowbluepink","<p>This new installation by Ann Veronica Janssens explores light and colour as she invades the gallery with coloured mist. Colour is caught in a state of suspension, obscuring any detail of surface or depth. Instead, attention is focussed on the process of perception itself. Janssens’s work is both disorienting and uplifting as the daily wonder of conscious experience is given renewed emphasis.</p>
<p>Entrance into the space is limited. Queuing is likely and timed ticketing may be in operation. Last entry will typically be an hour before closing. Keep an eye on Twitter for extra updates: <a href=""https://twitter.com/ExploreWellcome"">@explorewellcome</a>.</p>
<p>The installation is deliberately disorientating with very limited visibility. <a href=""/whats/ann-veronica-janssens-advice-entering"">This advice will help you get the most out of your visit</a>.</p>
<h2>Part of <a href=""/exhibitions/states-mind-tracing-edges-consciousness"">States of Mind: Tracing the edges of consciousness</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/States-of-Mind-AVJ-mist-room.png"" width=""1600"" height=""900"" />","This first part of States of Mind explores light and colour as Ann Veronica Janssens invades the gallery with coloured mist.","2015-10-15 10:00:00 to 2016-01-03 18:00:00"
"2821","/secrettemple","Tibet’s Secret Temple","<h2>Body, Mind and Meditation in Tantric Buddhism</h2>
<p>'Tibet’s Secret Temple’ explores Tibetan Buddhist yogic and meditational practice and their connections to physical and mental wellbeing.</p>
<p>Inspired by an exquisite series of 17th century murals from a private meditation chamber for Tibet’s Dalai Lamas in Lhasa’s Lukhang Temple, the exhibition features over 120 objects including scroll paintings, statues, manuscripts, archival and contemporary film, together with a wide range of ethnographic and ritual artefacts. Three of the murals from the temple have been recreated, by photographer Thomas Laird, as life-sized digital artworks that form the centrepiece of the exhibition.</p>
<p>‘Tibet’s Secret Temple’, by bringing the mural images together with a unique set of objects, will uncover till now unseen stories behind the ancient, esoteric and once secret practices illustrated in the Lukhang murals and show their relevance to the expanding and wide-ranging contemporary interest in meditative wellbeing.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Tibet_1600x900.png"" width=""1600"" height=""900"" />","Explore Tibetan Buddhist yogic and meditational practice and their connections to physical and mental wellbeing.","2015-11-19 10:00:00 to 2016-02-28 18:00:00"
"2819","/exhibitions/why-music","Why Music? 2015","<p><strong>Friday 25 September - Sunday 27 September 2015 </strong></p>
<p><strong>Please note that this page refers to an event that took place in 2015</strong></p>
<h2><strong>What makes music a vital part of being human?</strong></h2>
<p>From brain scans to world classical music premieres, <a href=""http://www.bbc.co.uk/programmes/p02zjcpx"">BBC Radio 3</a> broadcasted live from Wellcome Collection throughout the last weekend of September 2015. </p>
<p>Why Music? explored the power of music, over three days of live music, discussion and one-off programmes and events. Both Radio 3 listeners and Wellcome Collection visitors discovered how music manipulates our behaviour, shapes our brains and affects our physical and mental wellbeing, our language, literature and memory. Why Music? was broadcast on Radio 3 and was available on iPlayer.</p>
<p>As part of Why Music?, BBC Radio 3 and Wellcome Collection presented the all-night world broadcast premiere of <a href=""/whats/sleep"">SLEEP</a>, Max Richter’s eight hour lullaby.</p>
<p> </p>
","<img src=""https://wellcomecollection.org/sites/default/files/Why-Music.png"" width=""1423"" height=""800"" />","This long weekend explored how music can make our spines tingle and manipulate our minds.","2015-09-25 18:00:00 to 2015-09-27 18:00:00"
"2709","/saturdaystudio","Saturday Studio","<p>‘Saturday Studio’ is our new series of drop-in activities for people aged 14–19. Visit our state-of-the-art Youth Studio one Saturday afternoon a month to meet new people and try your hand at activities inspired by Wellcome Collection. The sessions will be led by experts from a variety of creative fields, and across the series you’ll have the opportunity to try skills including photography, dance, digital journalism and more.</p>
<h2>How do I get involved?</h2>
<p>Saturday Studio sessions are free to attend and will run through the afternoon on a drop-in basis. We have a limited number of spaces in the workshops, so places are first come, first served.</p>
<p>Check this page regularly to find out details about upcoming sessions or, to keep up to date with information about Saturday Studios and other youth projects, sign up for our emails below.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Saturday-Studio-main-2017.png"" width=""1600"" height=""900"" />","We’re inviting young people to try out creative activities inspired by Wellcome Collection.",""
"2659","/exhibitions/series-long-tables"," A Series of Long Tables","<p>Conceived by Lois Weaver, the ‘Long Table’ is an experimental open public forum that is a hybrid performance, installation, roundtable discussion and dinner party designed to facilitate dialogue by gathering together people with common interests.</p>
<p>This series of Long Tables will focus on <strong>sex in relation to ageing, consent, education and pleasure,</strong> in response to conversations with our visitors at previous events.</p>
<p>The Long Table is a dinner party structured by etiquette, where conversation is the only course. The project ingeniously combines theatricality and models for public engagement. It is at once a stylised appropriation and an open-ended, non-hierarchical format for participation. Both of these elements – theatrical craft and political commitment – are mutually supporting in this widely and internationally toured work. The (often-feminised) domestic realm here becomes a stage for public thought.</p>
<p>The Long Table is inspired by Marleen Gorris’s film Antonia’s Line, in which the protagonist continually extends her dinner table to accommodate a growing community of outsiders and eccentrics until, finally, the table must be moved out of doors. The Long Table, then, brings what might often be seen as ‘outside’ in – to a realm of conviviality – while showing how everyday, domestic things which might usually remain hidden can be brought out – into a realm of public ideas and discourse.</p>
<h2>Part of <a href=""/exhibitions/institute-sexology"">The Institute of Sexology</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/long-table-main.jpg"" width=""1600"" height=""900"" />","",""
"2655","/aliceanderson","Alice Anderson: Memory Movement Memory Objects","<p>In July 2015 over 100 works by acclaimed artist Alice Anderson will be displayed at Wellcome Collection. Anderson’s sculptures entirely mummified in copper thread will create glistening landscapes of beautiful, uncanny and transformed objects. Each piece is an exploration and act of memory.</p>
<p>The exhibition will also feature an immersive experience ‘<a href=""/whats/studio"">the Studio</a>’ extending the creative process of the artist’s practice into the gallery. Visitors will be able to spend time mummifying a 1967 Ford Mustang and other smaller objects with copper wire, creating an atmosphere that is at once meditative and communal.</p>
<p>Both the making and display of works pose challenging questions about the comforts and consolations of creating and sharing memories.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/1600x900_b_%255bminus%255d.jpg"" width=""1600"" height=""900"" />","Anderson’s sculptures entirely mummified in copper thread create glistening landscapes of beautiful, uncanny and transformed objects.","2015-07-22 10:00:00 to 2015-10-18 18:00:00"
"2607","/exhibitions/slow-story-slide-show","Slow Story Slide Show ","<p>A specially created experience for ten people at a time. Listen to a meditation, use desktop slide-viewers to watch a story - each slide an image carefully selected from the Wellcome Library.</p>
<p>Duration: 10 minutes.</p>
<p>By artist Sheila Ghelani.<br />
	Produced by Sally Rose. <br />
	Sound Design by Lucy Cash.</p>
<p>(Image: Sheila Ghelani)</p>
<h2>Part of <a href=""/onlight"">On Light</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Slow-Story-Slide-Show.png"" width=""1600"" height=""900"" />","A meditation and slide show created by Sheila Ghelani. ","2015-05-01 19:30:00 to 2015-05-04 17:00:00"
"2589","/exhibitions/modernity%E2%80%99s-candle-and-ways-pathless-deep","Modernity’s Candle and the Ways of the Pathless Deep ","<p><strong>Friday 1 May, 19.00-22.30<br />
	Saturday 2, Sunday 3 & Monday 4 May, 13.00-17.30</strong></p>
<p>A research hub and temporary museum exploring relationships between the global whaling industry and the transformation of night in 18th-century Europe. Join investigations and conversations that trace connections between the manufacture and international trade of candles, voyaging and exploration in the Pacific Ocean, Britain’s colonial projects, and emerging intellectual society.</p>
<p>By artist, anthropologist and writer Daniel Baker.</p>
<h2>Part of <a href=""/onlight"">On Light</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Modernity%27s-Candle.png"" width=""1600"" height=""900"" />","Daniel Baker explores relationships between the whaling industry & the transformation of night in 18th-century Europe.","2015-05-01 19:00:00 to 2015-05-04 17:30:00"
"2587","/exhibitions/light-transmission","Light Transmission","<p>A radio broadcast of music that charts the shifting relationship that the inhabitants of the British Isles have with visible light, inviting visitors to imagine beyond our capacities to see. </p>
<p><em>Light Transmission </em>is a new work by artist Leah Lovett commissioned by Wellcome Collection as part of <a href=""/events/bloomsbury-festival-wellcome-collection"">Bloomsbury Festival 2015</a>. </p>
<p>Leah Lovett works collaboratively to make performances, videos, drawings, writings and workshops that explore the socialising fictions played out between people in cities and across mediated space. Her work borrows from other cultural forms like anthropology, human geography and most of all theatre, and engages strategies of reenactment, camouflage and ventriloquism. She is currently pursuing an AHRC-funded PhD, researching invisible theatre and spatial politics at the Slade. Leah is a founder member of art collective TRIPOD, and works as a freelance writer and an arts educator in gallery, higher education and school contexts.</p>
<h2> </h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Light%20transmission%20image.jpg"" width=""3042"" height=""1706"" />","A radio broadcast that invites visitors to imagine beyond our capacities to see.","2015-10-22 10:00:00 to 2015-10-25 18:00:00"
"2577","/exhibitions/non-luce","Non in Luce","<p><strong>Friday 1 May, 19.00-22.45<br />
	Saturday 2, Sunday 3 & Monday 4 May, 13.00-17.45</strong></p>
<p>Artificial light illuminates the rooms, streets and cities in which we live. This interactive installation will take place largely in complete darkness to explore power failures and the alternative ways of operating we have to adopt in difficult circumstances.</p>
<p><strong>Entrance every 15 minutes, 15 minutes duration. Drop in.</strong></p>
<p>Andy Field is a theatremaker, curator, and co-director of the award-winning Forest Fringe. He has created unusual performances for car parks, warehouses, theatres and city streets across the UK and internationally.</p>
<p>(Image credit: David Shankbone.)</p>
<h2>Part of <a href=""/onlight"">On Light</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Light-non-in-luce-main.jpg"" width=""1600"" height=""900"" />","Andy Field's interactive installation explores power failures and alternative ways of operating in difficult circumstances.","2015-05-01 10:00:00 to 2015-05-04 17:45:00"
